Variable;Type of information;Territorial unit;Time series;Value;Flag
Vacancies;[thousand. positions];POLAND;2023 Q1;114.9;(nd)
Vacancies;[thousand. positions];POLAND;2023 Q2;113.2;(nd)
Vacancies;[thousand. positions];POLAND;2023 Q3;111.2;(nd)
Vacancies;[thousand. positions];POLAND;2023 Q4;97.1;(nd)
Vacancies;[thousand. positions];POLAND;2022 Q1;158.7;(nd)
Vacancies;[thousand. positions];POLAND;2022 Q2;149.3;(nd)
Vacancies;[thousand. positions];POLAND;2022 Q3;135.5;(nd)
Vacancies;[thousand. positions];POLAND;2022 Q4;115.7;(nd)
Vacancies;[thousand. positions];POLAND;2021 Q1;110.2;(nd)
Vacancies;[thousand. positions];POLAND;2021 Q2;142.8;(nd)
Vacancies;[thousand. positions];POLAND;2021 Q3;153.5;(nd)
Vacancies;[thousand. positions];POLAND;2021 Q4;137.4;(nd)
